4033;1 
4033;1 
4035;1 
4035;1 
4034;1 
4035;1 
4043;0 
4048;0 
4054;0 
4063;1 
4066;1 
4068;0 
4076;0 
4085;0 
4086;1 
4089;1 
4092;0 
4094;0 
4097;0 
4103;1 
4104;1 
4106;1 
4112;1 
4118;1 
4119;1 
4120;1 
4120;1 
4124;1 
4124;1 
4122;1 
4121;1 
4116;1 
4114;1 
4108;1 
4110;1 
4103;1 
4102;1 
4096;1 
4090;1 
4086;1 
4083;1 
4079;0 
4070;0 
4066;0 
4057;1 
4050;1 
4044;0 
4038;0 
4030;0 
4025;1 
4021;1 
4015;0 
4011;0 
4008;0 
4004;1 
4000;1 
3991;0 
3988;0 
3984;0 
3980;1 
3976;1 
3973;0 
3970;0 
3969;0 
3967;1 
3971;1 
3970;1 
3976;1 
3982;1 
3986;1 
3996;1 
4000;0 
4003;0 
4013;0 
4021;1 
4029;1 
4037;0 
4049;0 
4055;0 
4061;1 
4065;1 
4073;0 
4081;0 
4083;0 
4090;1 
4099;1 
4100;0 
4102;0 
4103;0 
4109;1 
4114;1 
4120;0 
4121;0 
4126;0 
4131;1 
4137;1 
4143;0 
4141;0 
4141;0 
4146;1;0 
4150;1 
4153;1 
4145;1 
4141;1 
4138;1 
4134;1 
4131;0 
4130;0 
4129;0 
4128;1 
4120;1 
4117;1 
4117;1 
4110;1 
4104;1 
4099;1 
4100;0 
4096;0 
4091;0 
4087;1 
4084;1 
4080;0 
4077;0 
4072;0 
4069;1 
4067;1 
4063;0 
4059;0 
4055;0 
4051;1 
4048;1 
4047;0 
4040;0 
4040;0 
4033;1 
4033;1 
4034;1 
4028;1 
4023;1 
4018;1 
4014;1 
4017;1 
4012;0 
4009;1 
4005;1 
4008;1 
4009;1 
4012;1 
4012;1 
4019;1 
4020;1 
4032;0 
4037;0 
4042;0 
4049;1 
4053;1 
4058;0 
4063;0 
4068;0 
4079;1 
4082;1 
4093;0 
4101;0 
4104;0 
4111;1 
4118;1 
4122;0 
4120;0 
4125;0 
4126;1 
4131;1 
4131;1 
4136;1 
4140;1 
4146;1 
4148;1 
4145;1 
4142;1 
4137;1 
4136;1 
4134;1 
4133;1 
4132;1 
4131;1 
4124;1 
4116;1 
4110;0 
4099;0 
4093;0 
4088;1 
4082;1 
4071;0 
4062;0 
4054;0 
4052;1 
4046;1 
4044;0 
4038;0 
4030;0 
4022;1;0 
4022;1 
4022;1 
4021;0 
4017;1 
4011;1 
4007;1 
4004;0 
4000;0 
